Employee_ID,Age,Gender,Department,Education,Experience_Years,Salary,Overtime_Hours,Projects_Handled,Attendance_Percentage,Training_Hours,Work_Life_Balance,Job_Satisfaction,Manager_Rating,Promotion_Last_5Years,Remote_Work,Performance_Score,Performance_Label
EMP01090,25,Male,Sales,Master's,3,31203.19,1,4,89.81,20,1,4,3.18,0,0,56.283,Good
EMP01091,43,Female,Marketing,Master's,21,57934.05,8,9,82.57,29,5,4,4.19,1,1,73.508,Good
EMP01092,35,Female,Sales,Master's,8,34911.87,17,10,95.47,6,1,5,3.58,0,1,69.3424,Good
EMP01093,40,Male,Engineering,Master's,6,34158.07,15,5,87.96,12,5,4,3.47,0,1,67.2852,Good
EMP01094,34,Male,Finance,Bachelor's,6,30412.98,6,8,86.39,49,1,3,3.43,1,0,54.9923,Average
EMP01095,56,Female,Finance,Master's,5,33096.03,8,18,84.84,42,1,1,5.0,1,1,60.5253,Good
EMP01096,25,Male,Finance,PhD,3,28563.44,11,8,91.77,6,2,2,4.06,0,0,57.9688,Good
EMP01097,54,Female,Marketing,Master's,3,29008.21,18,18,87.1,22,3,3,2.71,0,1,55.0677,Good
EMP01098,43,Female,Engineering,Bachelor's,0,22720.14,22,7,72.96,43,2,2,2.95,0,0,39.465,Average
EMP01099,22,Male,Marketing,Bachelor's,0,27389.54,0,8,100.0,6,1,4,4.06,1,1,70.5712,Good
EMP01100,32,Male,Marketing,Master's,10,40524.7,5,7,70.47,9,3,1,2.49,0,0,28.273,Poor
EMP01101,37,Male,Engineering,Bachelor's,0,26987.27,1,19,99.17,13,1,4,3.78,1,1,71.0975,Good
EMP01102,25,Male,Engineering,PhD,3,29290.27,25,11,81.01,4,1,1,2.86,1,1,34.1927,Poor
EMP01103,50,Female,Engineering,Bachelor's,18,54379.46,16,11,83.44,18,3,2,3.02,1,0,48.5636,Average
EMP01104,60,Male,Engineering,Bachelor's,4,27264.1,20,3,100.0,36,2,2,3.62,0,0,60.2226,Good
EMP01105,59,Male,Finance,PhD,4,31011.64,13,20,68.87,32,4,2,3.3,0,1,47.3632,Average
EMP01106,45,Female,HR,Bachelor's,23,61890.2,12,13,87.13,13,1,5,2.27,1,0,54.528,Average
EMP01107,30,Female,HR,High School,6,30037.95,21,10,98.55,2,4,4,3.38,1,1,71.6057,Good
EMP01108,29,Female,Engineering,Master's,7,35758.5,10,6,83.06,6,2,5,3.96,0,1,65.7916,Good
EMP01109,35,Female,HR,Master's,12,44154.28,15,3,90.88,29,4,3,3.79,0,0,65.2935,Good
EMP01110,36,Female,HR,High School,11,40731.12,17,10,97.16,26,2,5,4.44,1,0,82.4259,Excellent
EMP01111,43,Female,Engineering,PhD,18,53989.08,19,2,87.01,35,4,2,2.74,0,1,48.8923,Average
EMP01112,58,Female,HR,Bachelor's,12,45009.34,2,1,99.03,37,4,1,3.89,0,0,61.317,Good
EMP01113,36,Female,Marketing,Master's,14,44763.69,0,12,87.7,10,1,4,3.41,0,0,59.2085,Good
EMP01114,27,Female,Sales,Bachelor's,5,31726.38,13,4,83.48,42,3,4,3.35,1,1,60.8581,Good
EMP01115,22,Male,Sales,Master's,0,22677.09,16,20,91.67,35,3,4,3.77,1,1,73.5655,Good
EMP01116,41,Male,Engineering,Bachelor's,12,43635.31,2,11,97.16,15,2,3,3.13,1,0,60.2412,Good
EMP01117,57,Female,Finance,Bachelor's,12,43404.98,11,1,82.08,16,1,4,3.05,1,1,48.7175,Average
EMP01118,23,Male,Engineering,Bachelor's,1,26504.67,1,16,85.88,18,4,3,2.97,1,0,58.7401,Good
EMP01119,27,Female,Finance,Master's,5,32701.34,1,6,78.66,34,2,2,3.54,0,0,47.2202,Average
EMP01120,23,Female,Sales,High School,1,24785.61,11,15,84.9,37,3,1,3.55,1,1,52.5657,Average
EMP01121,24,Female,Engineering,Master's,2,25142.27,25,10,83.75,47,4,2,3.23,0,0,54.8711,Average
EMP01122,28,Female,Operations,Master's,6,34888.4,20,8,90.05,44,1,5,4.14,1,1,73.4336,Good
EMP01123,41,Male,Marketing,Bachelor's,19,53103.74,4,17,73.51,1,2,4,3.4,0,0,53.0298,Average
EMP01124,26,Male,HR,High School,4,28937.8,22,13,86.3,38,5,5,4.94,1,0,89.9217,Excellent
EMP01125,46,Female,Finance,Bachelor's,24,59549.95,15,9,94.1,26,1,3,4.53,1,1,68.4386,Good
EMP01126,59,Male,Operations,Master's,14,47837.09,4,6,91.67,50,2,2,1.9,1,0,41.5376,Average
EMP01127,39,Male,HR,Bachelor's,17,52222.89,2,17,94.57,0,4,4,2.82,0,0,65.9904,Good
EMP01128,22,Female,HR,Bachelor's,0,26325.89,25,2,93.62,1,2,3,3.22,1,0,53.8283,Average
EMP01129,46,Female,Engineering,Master's,17,50417.46,5,18,94.01,48,1,2,4.49,1,1,66.7631,Good
EMP01130,38,Male,HR,Master's,0,23635.93,18,16,79.74,14,3,2,1.49,0,1,34.0198,Poor
EMP01131,36,Male,Marketing,Bachelor's,9,41144.57,11,6,81.8,0,3,3,2.36,0,1,42.9472,Average
EMP01132,26,Female,Operations,Bachelor's,4,30353.21,7,3,94.69,5,1,1,3.94,1,1,49.1466,Average
EMP01133,38,Female,HR,Master's,6,34541.19,5,3,71.49,29,4,2,4.25,1,1,52.232,Average
EMP01134,42,Male,Engineering,PhD,7,33798.91,13,14,73.56,43,3,4,2.98,0,0,55.4295,Good
EMP01135,44,Female,Marketing,Master's,22,57523.49,22,10,85.49,26,5,5,3.41,1,0,73.6358,Good
EMP01136,31,Female,Sales,Master's,8,31667.02,2,10,87.47,16,5,3,3.19,0,1,61.9527,Good
EMP01137,38,Female,Operations,Bachelor's,16,47742.5,10,2,83.24,39,5,1,4.61,1,0,60.8564,Good
EMP01138,22,Male,HR,Bachelor's,0,21952.82,6,7,73.05,23,2,2,4.55,0,0,51.8635,Average
EMP01139,58,Male,Engineering,Bachelor's,6,34434.47,8,14,97.05,49,4,5,2.35,0,1,72.0761,Good
EMP01140,28,Female,Sales,Bachelor's,6,32808.48,23,17,82.68,50,4,1,3.14,0,1,50.4007,Average
EMP01141,33,Male,Sales,Master's,8,36396.71,10,17,76.35,21,3,3,3.2,1,1,52.5721,Average
EMP01142,22,Female,Finance,Bachelor's,0,29260.71,12,10,66.34,14,1,2,3.98,0,1,40.4166,Average
EMP01143,41,Male,Marketing,Bachelor's,19,51457.22,17,3,94.74,44,5,2,4.88,1,1,75.8292,Excellent
EMP01144,52,Male,HR,PhD,15,47743.83,9,17,87.24,20,5,3,3.26,1,1,64.803,Good
EMP01145,25,Male,Engineering,Bachelor's,1,26938.78,25,13,80.87,26,1,5,4.04,0,1,67.413,Good
EMP01146,47,Female,Finance,Bachelor's,25,60600.37,1,16,94.62,15,1,5,2.7,1,0,63.9748,Good
EMP01147,33,Female,Marketing,High School,11,43706.96,6,3,92.56,46,5,4,3.52,1,0,72.6164,Good
EMP01148,43,Female,Finance,Master's,21,59792.66,14,15,89.13,13,1,2,4.09,1,1,57.579,Good
EMP01149,22,Male,Operations,Master's,0,27398.96,9,7,87.86,3,2,3,3.66,0,0,56.2759,Good
EMP01150,22,Female,Marketing,Bachelor's,0,23092.32,11,13,84.53,23,3,2,3.82,1,0,57.5382,Good
EMP01151,24,Female,Marketing,Bachelor's,2,26594.34,19,7,92.18,12,2,4,4.59,0,0,73.0581,Good
EMP01152,33,Female,HR,Master's,6,29946.29,24,11,73.38,4,5,4,5.0,0,1,73.1637,Good
EMP01153,42,Female,Marketing,Master's,20,54636.6,21,14,84.91,39,3,1,3.85,1,0,54.9763,Average
EMP01154,34,Male,Finance,PhD,10,39779.7,8,11,76.03,32,3,2,4.45,1,1,57.8466,Good
EMP01155,34,Female,Marketing,Master's,12,44558.9,18,19,90.18,44,3,3,4.59,0,0,75.2899,Excellent
EMP01156,39,Female,HR,Master's,17,54026.67,21,7,94.88,36,4,1,5.0,0,1,70.6996,Good
EMP01157,54,Male,HR,Bachelor's,15,44982.38,5,2,88.33,7,4,3,3.09,0,1,54.9669,Average
EMP01158,27,Female,Operations,High School,5,32776.91,23,3,86.09,38,3,4,1.67,0,1,47.1969,Average
EMP01159,46,Male,Finance,High School,1,26048.19,22,2,75.85,18,4,5,3.99,0,1,66.1737,Good
EMP01160,44,Male,Sales,Master's,9,38197.23,18,5,90.64,9,2,5,4.43,0,1,74.5625,Good
EMP01161,45,Male,Sales,Master's,3,32628.56,0,18,94.68,41,5,3,3.56,1,0,74.106,Good
EMP01162,58,Female,Marketing,Bachelor's,9,38691.43,1,16,86.99,38,5,3,3.67,1,0,70.0738,Good
EMP01163,47,Male,Operations,High School,8,38099.5,14,3,83.17,18,5,5,4.01,0,0,73.8467,Good
EMP01164,25,Male,Engineering,Bachelor's,3,30447.98,10,15,80.54,30,1,1,3.19,1,0,41.0337,Average
EMP01165,59,Male,Marketing,PhD,4,31436.16,25,20,97.38,13,2,5,2.6,0,1,67.1216,Good
EMP01166,56,Female,Operations,Master's,34,74465.83,17,20,100.0,24,5,4,2.1,0,1,68.0266,Good
EMP01167,32,Male,Finance,Master's,3,33243.38,0,13,87.48,7,5,2,2.29,0,0,49.4027,Average
EMP01168,57,Male,Finance,Master's,34,75931.98,3,6,87.41,3,5,3,3.3,1,0,59.9332,Good
EMP01169,46,Male,Finance,PhD,12,44062.25,21,16,89.66,46,5,1,3.53,0,0,60.7137,Good
EMP01170,41,Female,Finance,Master's,19,54007.62,3,11,94.86,4,4,4,3.21,0,1,68.413,Good
EMP01171,22,Male,Finance,Master's,0,20776.8,3,14,94.78,35,4,2,2.53,1,0,56.7575,Good
EMP01172,51,Male,Operations,Bachelor's,10,37915.68,24,15,98.73,43,2,1,3.27,0,1,56.5675,Good
EMP01173,25,Female,Operations,High School,3,29727.95,17,5,89.46,5,2,3,3.28,0,0,53.3602,Average
EMP01174,44,Female,HR,Bachelor's,2,26300.89,0,6,100.0,29,5,1,4.17,0,1,68.0528,Good
EMP01175,56,Female,Sales,Bachelor's,12,43806.06,6,15,93.15,39,5,4,3.73,1,1,79.4743,Excellent
EMP01176,43,Male,Finance,PhD,21,54679.67,13,19,87.3,37,5,5,3.42,0,1,77.9158,Excellent
EMP01177,52,Male,Engineering,Bachelor's,22,58033.81,15,11,97.99,36,1,3,3.49,0,0,63.5214,Good
EMP01178,22,Male,Operations,Master's,0,21585.03,14,20,100.0,40,3,2,2.67,1,0,59.6133,Good
EMP01179,25,Male,Engineering,Bachelor's,3,31171.82,4,6,83.13,18,4,3,3.71,0,0,59.845,Good
EMP01180,40,Female,Engineering,Bachelor's,5,33401.98,12,11,85.57,41,5,4,4.15,0,0,76.9607,Excellent
EMP01181,51,Male,Engineering,PhD,6,34995.33,4,8,89.98,42,1,2,3.63,1,0,53.9241,Average
EMP01182,22,Female,HR,Bachelor's,0,24818.65,17,12,82.01,17,1,4,2.91,0,0,51.9934,Average
EMP01183,40,Male,Operations,Bachelor's,18,50605.78,21,17,95.92,20,1,3,4.11,0,1,67.6378,Good
EMP01184,42,Male,Engineering,Bachelor's,5,35655.91,4,1,84.96,36,4,1,3.92,1,1,52.6817,Average
EMP01185,43,Male,Finance,Master's,21,59832.98,4,10,84.23,42,3,4,4.12,1,1,70.4518,Good
EMP01186,23,Female,Marketing,Bachelor's,1,26357.13,5,14,92.38,16,5,5,3.62,0,0,80.357,Excellent
EMP01187,27,Female,Engineering,Master's,5,31357.3,13,7,100.0,30,5,5,3.93,0,1,86.4346,Excellent
EMP01188,42,Female,HR,Master's,3,26043.09,1,18,79.01,20,3,3,3.52,1,0,56.8914,Good
EMP01189,54,Female,Operations,Master's,31,71950.32,14,9,78.48,10,4,2,3.77,0,0,52.8943,Average
EMP01190,40,Male,HR,Master's,18,50663.02,15,16,88.71,15,1,1,3.23,0,0,44.9582,Average
EMP01191,48,Male,Engineering,Bachelor's,15,46540.75,4,10,76.24,8,5,2,3.51,1,0,51.9499,Average
EMP01192,58,Male,Operations,Bachelor's,14,47928.02,15,12,82.99,50,1,4,3.42,0,0,59.3697,Good
EMP01193,50,Male,Marketing,Master's,1,24575.3,0,9,86.8,22,3,3,3.99,1,0,63.6757,Good
EMP01194,49,Male,Engineering,Bachelor's,5,36337.68,7,14,95.83,38,5,1,3.29,0,0,61.816,Good
EMP01195,55,Female,HR,Bachelor's,13,42465.89,0,2,77.4,22,5,3,4.18,0,1,61.7132,Good
EMP01196,22,Female,Sales,Bachelor's,0,20906.1,6,10,86.1,2,5,3,2.66,0,0,55.0233,Good
EMP01197,46,Male,Finance,Master's,24,59683.86,5,10,82.26,48,2,3,1.94,0,0,42.6419,Average
EMP01198,42,Male,HR,Bachelor's,17,51213.57,7,2,80.7,5,3,2,2.65,1,1,38.7031,Average
EMP01199,55,Male,Operations,Bachelor's,3,29773.23,4,6,89.4,19,3,4,3.42,0,0,63.8797,Good
EMP01200,47,Male,Engineering,Master's,24,61366.0,14,11,91.74,14,1,4,4.13,0,0,68.044,Good
EMP01201,57,Female,Finance,Master's,28,66445.87,21,9,86.99,45,4,2,2.92,0,0,53.7807,Average
EMP01202,56,Male,Engineering,Bachelor's,33,73497.77,19,3,91.17,29,5,5,2.6,1,1,67.6192,Good
EMP01203,44,Male,Operations,Bachelor's,15,45020.91,25,19,79.19,31,5,1,2.94,0,0,48.0521,Average
EMP01204,38,Male,Engineering,Master's,16,49258.94,25,11,91.93,5,5,1,4.02,1,0,61.2431,Good
EMP01205,33,Male,Sales,PhD,11,43613.52,15,4,92.83,30,3,2,3.29,0,1,55.1438,Good
EMP01206,41,Female,Finance,Master's,19,53528.31,16,15,93.1,15,5,3,3.39,1,0,69.1371,Good
EMP01207,60,Male,Finance,Bachelor's,27,63978.41,10,12,71.17,28,3,3,4.17,1,1,57.2999,Good
EMP01208,48,Female,Operations,Bachelor's,0,25291.92,22,4,93.67,21,4,4,3.25,0,1,66.9075,Good
EMP01209,58,Female,Sales,Master's,7,38427.63,1,15,91.73,39,4,2,4.18,1,1,70.0591,Good
EMP01210,41,Male,HR,Master's,14,45591.95,0,17,97.65,27,3,5,3.44,1,1,78.5641,Excellent
EMP01211,32,Male,Engineering,Bachelor's,10,37526.79,16,18,78.79,14,5,5,2.94,1,1,66.0874,Good
EMP01212,49,Male,Marketing,Bachelor's,18,52439.63,0,5,90.62,20,3,1,3.99,1,1,54.3201,Average
EMP01213,23,Male,Engineering,Master's,1,27679.21,1,10,85.02,7,5,1,3.91,0,0,55.8097,Good
EMP01214,45,Male,Engineering,Bachelor's,9,40234.44,16,20,74.14,0,5,3,3.76,1,0,59.0262,Good
EMP01215,37,Female,HR,Bachelor's,15,48894.45,3,9,88.73,29,2,3,4.99,1,1,71.8834,Good
EMP01216,33,Female,Engineering,Bachelor's,11,41832.18,11,18,73.19,1,3,2,4.09,1,1,51.4179,Average
EMP01217,37,Female,Sales,Bachelor's,15,45832.48,9,12,85.85,23,1,3,2.7,0,1,48.0874,Average
EMP01218,57,Female,Sales,Bachelor's,8,35033.46,9,8,86.73,48,1,3,3.67,0,1,57.2311,Good
EMP01219,23,Female,Finance,Master's,1,25823.75,14,11,82.8,4,4,4,3.99,1,1,67.7372,Good
EMP01220,46,Male,Operations,Bachelor's,20,56230.51,10,4,89.88,11,5,2,3.71,1,0,60.1256,Good
EMP01221,50,Male,Marketing,Bachelor's,23,58198.9,6,9,76.7,4,5,1,2.97,0,0,41.6378,Average
EMP01222,49,Female,Engineering,Bachelor's,6,33018.74,9,4,80.96,33,2,2,2.93,0,1,42.3909,Average
EMP01223,31,Male,Engineering,Bachelor's,3,27729.22,18,18,100.0,13,5,5,2.65,0,1,76.7329,Excellent
EMP01224,44,Male,HR,Bachelor's,7,38621.59,24,14,83.44,11,4,3,3.72,1,0,62.6803,Good
EMP01225,53,Female,Operations,Bachelor's,12,42555.8,17,14,83.62,26,3,1,3.12,1,0,46.471,Average
EMP01226,52,Female,Sales,Master's,20,56343.27,1,1,81.2,1,3,2,2.95,1,0,40.8002,Average
EMP01227,40,Female,Marketing,High School,18,55160.59,6,9,96.21,48,4,1,3.16,1,0,56.6543,Good
EMP01228,36,Male,Finance,High School,4,29096.65,24,6,91.1,35,2,3,2.84,0,1,53.9511,Average
EMP01229,54,Female,Sales,High School,7,37017.96,13,18,79.49,44,3,1,3.72,0,1,50.9889,Average
EMP01230,38,Female,Operations,Bachelor's,1,26313.71,21,11,89.94,37,4,1,3.46,0,1,55.8607,Good
EMP01231,57,Male,Finance,Master's,23,62311.35,10,7,96.39,2,5,1,3.91,1,1,61.1912,Good
EMP01232,41,Male,HR,High School,15,45915.36,0,8,92.87,35,3,5,3.09,0,0,70.5471,Good
EMP01233,30,Female,HR,PhD,3,29928.56,21,3,94.88,7,4,4,3.6,1,0,68.9252,Good
EMP01234,59,Male,Engineering,Bachelor's,29,69768.78,19,11,100.0,1,2,2,3.61,1,1,59.839,Good
EMP01235,24,Female,Operations,Master's,2,26630.91,4,11,77.87,40,3,1,3.8,1,0,49.0743,Average
EMP01236,23,Male,Marketing,Bachelor's,1,26084.71,3,2,91.96,41,2,5,3.56,0,0,69.6634,Good
EMP01237,39,Female,Finance,Master's,12,42718.61,13,15,81.87,28,1,1,2.7,1,0,37.3277,Average
